x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
539,422,101,489,778,582,502,906,1113,1031
695,705,96,976,909,377,508,561,992,945
343,781,93,1245,791,890,499,945,664,182
956,181,108,923,1260,330,508,1200,1117,620
595,512,97,910,1069,657,507,390,957,1065
428,443,91,801,1035,942,501,827,554,1175
533,945,97,1252,1032,692,505,367,1078,620
467,510,107,502,709,878,506,1322,587,701
565,591,99,683,939,539,516,839,473,1026
1108,457,102,858,874,523,499,441,777,544
965,169,105,1014,784,661,515,354,1103,1154
360,513,107,1126,951,606,516,599,709,1331
669,671,117,773,1151,824,499,1034,912,805
444,725,107,807,1084,744,507,1040,726,1003
844,339,111,1002,698,779,512,478,711,1214
701,1026,104,844,1146,784,504,1255,1215,352
854,874,115,880,915,696,506,1110,981,816
793,693,108,828,1069,631,505,911,920,831
619,270,116,758,845,760,509,828,867,983
466,284,107,1244,924,731,514,540,508,981
700,1141,104,325,923,382,508,1466,900,758
928,676,100,840,865,590,511,797,1180,826
529,952,113,1055,697,411,511,730,1152,698
757,864,113,713,785,1047,504,557,809,359
518,441,115,849,874,631,520,1021,905,809
553,395,107,375,877,797,527,134,793,747
763,816,98,748,802,505,519,362,649,849
259,521,111,868,949,637,531,1205,646,958
456,495,117,984,826,680,530,1611,556,629
490,-124,106,1269,500,880,522,787,877,1087
729,728,107,845,727,671,532,1250,757,869
-90,519,113,431,902,678,541,820,969,1155
282,103,115,914,788,595,531,417,1487,870
480,681,104,131,517,641,542,541,817,858
251,501,105,645,831,577,539,1173,824,421
695,786,107,533,1033,683,549,792,830,1225
783,899,104,999,822,364,546,863,652,823
-181,1017,112,1120,350,749,552,555,604,1169
952,609,108,696,664,900,549,826,735,609
745,238,107,556,761,669,559,451,998,310
493,956,100,830,914,1071,562,901,858,1505
483,605,107,474,968,658,566,682,685,646
320,337,110,312,599,701,559,850,767,816
2035,626,107,1352,712,604,569,163,879,941
369,670,98,771,539,1143,574,788,643,898
-187,690,103,834,785,933,569,1014,1090,562
484,1054,117,633,788,756,570,896,895,574
612,468,107,627,75,361,571,791,408,479
550,253,116,434,951,671,566,963,727,780
970,376,98,934,770,936,571,870,603,641
478,179,113,625,383,896,562,1124,434,739
1194,303,100,1363,536,880,577,842,662,577
849,1074,101,722,991,831,569,739,888,948
743,528,107,393,484,500,578,909,787,672
1163,637,111,794,1062,879,570,994,849,449
1091,613,105,517,1099,985,585,1454,954,863
480,868,106,476,874,675,569,1197,761,860
375,541,107,674,1300,748,579,1186,885,868
1013,816,106,1017,511,904,572,832,705,987
461,679,98,814,753,693,585,1261,967,775
460,954,98,662,642,1070,582,1286,684,1055
507,605,113,906,923,797,575,590,1032,1090
605,413,107,778,954,588,584,1062,767,296
628,658,104,1007,880,428,577,487,553,826
795,843,116,739,729,1016,590,421,857,894
862,543,98,873,230,658,574,876,617,1223
611,429,107,449,678,928,585,-185,1075,432
1074,798,98,960,1011,729,577,342,374,960
1360,592,112,790,950,664,583,938,544,1072
906,564,116,1153,104,610,594,1122,1000,1185
608,47,113,726,632,877,590,602,678,1010
953,433,109,776,892,770,580,410,667,1029
943,1065,107,496,992,852,590,1211,821,331
644,371,116,730,885,508,589,176,1162,902
354,659,107,809,838,956,597,1051,621,735
1381,953,100,862,299,513,595,565,782,511
823,314,104,481,779,624,582,176,1466,1126
784,958,107,833,1056,732,592,1016,963,364
1398,-73,111,896,501,1051,602,483,160,845
1110,1070,111,695,323,1112,589,115,760,1274
913,-273,109,909,657,839,602,819,485,782
-29,634,112,864,576,772,590,1105,865,858
-23,356,107,626,965,705,599,971,327,816
746,602,99,859,650,660,609,796,530,609
543,468,106,945,866,873,609,1248,665,764
925,391,108,1001,315,683,619,550,1166,1004
661,357,100,764,859,922,615,553,1074,928
719,940,98,620,1071,680,620,672,1023,343
991,352,98,605,819,653,609,1120,747,757
195,655,107,792,833,798,627,696,638,905
1688,893,102,599,403,960,618,384,1194,909
452,334,111,591,980,1006,610,886,940,656
144,1198,112,875,799,762,618,608,763,833
823,728,102,568,988,710,614,1335,721,1315
911,834,112,377,1125,1134,609,168,400,1149
584,975,102,1262,540,452,617,589,1004,900
2,686,101,592,547,718,611,866,709,1033
989,249,112,894,958,632,608,1118,730,579
